edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
72,69,1155.65,807.44,58,1085.29,811.75,70.4978,0.0449438202247191,0.13572018028312066,0.0009092701755604347,0.0009169885559230633,2,2,0.002290566544303647
73,69,1155.65,807.44,85,1234.64,803.13,79.0998,0.0449438202247191,0.18561543832920713,0.0009092701755604347,0.00089614285359662,2,2,0.0014819975911338898
74,126,29.22,767.80,138,38.41,1013.65,246.0224,0.044816860280581475,0.04380118072748048,0.0007307257919313842,0.0007191555479364032,2,2,0.0007560904509780928
75,126,29.22,767.80,6,-0.65,770.10,29.9580,0.044816860280581475,0.0,0.0007307257919313842,0.0007151581578774889,2,1,0.011305513867982902
76,102,146.40,989.53,105,151.57,751.14,238.4394,0.11426394972386213,0.1564146511775535,0.0007678292585152221,0.0007906102626721494,2,2,0.0018541341774494888
77,105,151.57,751.14,126,29.22,767.80,123.4797,0.1564146511775535,0.044816860280581475,0.0007906102626721494,0.0007307257919313842,2,2,0.00613243772062947
78,117,242.91,966.55,119,251.52,739.66,227.0584,0.1328001015679553,0.20973782771535582,0.0008122148709713882,0.0008382308568334646,2,2,0.0006206120930885912
79,105,151.57,751.14,119,251.52,739.66,100.6067,0.1564146511775535,0.20973782771535582,0.0007906102626721494,0.0008382308568334646,2,2,0.004444932901487133
80,139,388.81,939.55,137,378.47,720.70,219.0984,0.27029772106900274,0.38405383101631435,0.0008793256974079567,0.0009048727859074487,2,2,0.0026966940173046615
81,119,251.52,739.66,137,378.47,720.70,128.3537,0.20973782771535582,0.38405383101631435,0.0008382308568334646,0.0009048727859074487,2,2,0.004780075951758172
82,137,378.47,720.70,136,376.17,680.49,40.2748,0.38405383101631435,0.3657715990604964,0.0009048727859074487,0.0009068618047958303,2,2,0.00995336288513761
83,143,516.33,663.26,142,503.65,949.79,286.8107,0.16073128927823271,0.29467403034342665,0.0009401604272217433,0.0009150225643613363,2,2,0.0010701293730561458
84,136,376.17,680.49,143,516.33,663.26,141.2133,0.3657715990604964,0.16073128927823271,0.0009068618047958303,0.0009401604272217433,2,2,0.004505094607888139
85,105,151.57,751.14,97,139.51,648.32,103.8576,0.1564146511775535,0.11299435028248588,0.0007906102626721494,0.0007726203384618699,2,2,0.010120374136041515
86,143,516.33,663.26,153,630.58,645.20,115.6661,0.16073128927823271,0.16327048816098522,0.0009401604272217433,0.000937718901060753,2,2,0.006332320258074348
87,153,630.58,645.20,164,748.33,629.40,118.8104,0.16327048816098522,0.1260712245286612,0.000937718901060753,0.0009409373384222601,2,2,0.005302090636509344
88,165,762.00,627.51,163,733.60,976.92,350.5589,0.1347045007300197,0.1720307243064813,0.0009419681112973975,0.0009135502009710619,2,2,0.0009020849798367882
89,165,762.00,627.51,164,748.33,629.40,13.8005,0.1347045007300197,0.1260712245286612,0.0009419681112973975,0.0009409373384222601,2,2,0.011190242952454247
90,100,1434.82,602.95,25,1539.37,926.92,402.9360,0.06703485050466577,0.0,0.0007602128604721874,0.000582718877637767,1,1,0.00638875687770126
91,100,1434.82,602.95,23,1429.08,747.70,144.8672,0.06703485050466577,0.0,0.0007602128604721874,0.0006851781754745658,1,1,0.008244734686693801
92,90,1282.03,587.72,100,1434.82,602.95,153.5514,0.11032819145559576,0.06703485050466577,0.0008562316876784935,0.0007602128604721874,1,1,0.030354671921296053
93,90,1282.03,587.72,19,1268.24,718.98,131.9764,0.11032819145559576,0.0,0.0008562316876784935,0.0007697381161305237,1,1,0.009730901535075245
94,54,1054.93,587.04,58,1085.29,811.75,226.7944,0.28413635498000384,0.13572018028312066,0.0009577982057361738,0.0009169885559230633,2,2,0.0012773814685683178
95,54,1054.93,587.04,51,1027.13,946.02,360.0520,0.28413635498000384,0.07274804799085888,0.0009577982057361738,0.0008800599860356925,2,2,0.0005810767149359409
96,54,1054.93,587.04,165,762.00,627.51,295.7077,0.28413635498000384,0.1347045007300197,0.0009577982057361738,0.0009419681112973975,2,2,0.0057659952818081145
97,100,1434.82,602.95,29,1557.75,590.31,142.6452,0.06703485050466577,0.0,0.0007602128604721874,0.0006862170481970808,1,1,0.008268637845932543
98,97,139.51,648.32,91,129.17,573.65,75.3867,0.11299435028248588,0.10931251190249476,0.0007726203384618699,0.0007653575526425372,2,2,0.008435489501720747
99,66,1129.81,570.49,69,1155.65,807.44,238.3530,0.16758712626166444,0.0449438202247191,0.0009471675622124438,0.0009092701755604347,2,2,0.0004050771044536034
100,54,1054.93,587.04,66,1129.81,570.49,76.6863,0.28413635498000384,0.16758712626166444,0.0009577982057361738,0.0009471675622124438,2,2,0.004575373078386153
101,126,29.22,767.80,5,-0.65,569.05,201.0602,0.044816860280581475,0.0,0.0007307257919313842,0.0006375790162510101,2,1,0.007943948165562017
102,91,129.17,573.65,115,207.29,558.71,79.5356,0.10931251190249476,0.054084936202628074,0.0007653575526425372,0.000756703127117334,2,2,0.0010166177062831984
103,85,1234.64,803.13,80,1211.66,548.95,255.2667,0.18561543832920713,0.3954802259887006,0.00089614285359662,0.0009321277743597751,2,2,0.003784281632722101
104,66,1129.81,570.49,80,1211.66,548.95,84.6413,0.16758712626166444,0.3954802259887006,0.0009471675622124438,0.0009321277743597751,2,2,0.005010813531664844
105,87,1278.23,547.55,90,1282.03,587.72,40.3539,0.21786326414016377,0.11032819145559576,0.0008849181082166593,0.0008562316876784935,2,1,0.049522804776027426
106,80,1211.66,548.95,87,1278.23,547.55,66.5857,0.3954802259887006,0.21786326414016377,0.0009321277743597751,0.0008849181082166593,2,2,0.029773754060294366
107,108,1536.00,545.39,87,1278.23,547.55,257.7788,0.07427156732051038,0.21786326414016377,0.0007494114221629481,0.0008849181082166593,2,2,0.007246062853287581
108,108,1536.00,545.39,33,1558.98,544.90,22.9844,0.07427156732051038,0.0,0.0007494114221629481,0.0007367916521585284,2,1,0.011615329943444209
